#  longitude, latitude (or opposite), vx_mps
-3.655036041933353713e-02,3.963702092607726257e+01,2.696423481938990108e+01
-3.656829908407726454e-02,3.963703084903543328e+01,2.630900087372806695e+01
-3.658636725612249979e-02,3.963704060345115465e+01,2.592782304579322883e+01
-3.660467904202914513e-02,3.963705001322594512e+01,2.589551586175142361e+01
-3.662334457533417131e-02,3.963705895124777356e+01,2.586316832096316531e+01
-3.664217186002407395e-02,3.963706764970575591e+01,2.623748929464154500e+01
-3.666110841451582225e-02,3.963707615207626844e+01,2.660562949454136117e+01
-3.668022143084285341e-02,3.963708439824894469e+01,2.696784429862495003e+01
-3.669941714483562767e-02,3.963709249579498106e+01,2.732437157005384876e+01
-3.671864538191666610e-02,3.963710053824123491e+01,2.679692932289151841e+01
-3.673786865817185721e-02,3.963710859666169739e+01,2.603678523587142379e+01
-3.675704837276492359e-02,3.963711672701829514e+01,2.540229091842162745e+01
-3.677635905676594069e-02,3.963712464919904477e+01,2.529619599045514988e+01
-3.679596713662206670e-02,3.963713203439752419e+01,2.526467584092397800e+01
-3.681587752858482554e-02,3.963713882493313889e+01,2.523311631777605513e+01
-3.683600006318982212e-02,3.963714517651400371e+01,2.548770250830146367e+01
-3.685625821015338366e-02,3.963715121726482238e+01,2.586838778611469536e+01
-3.687663803765350856e-02,3.963715695545421625e+01,2.623269885336622664e+01
-3.689703998054404827e-02,3.963716264750858187e+01,2.660091714617567149e+01
-3.691744137572317008e-02,3.963716834722916360e+01,2.696320686299762670e+01
-3.693794811037887788e-02,3.963717376174715668e+01,2.728838028156508955e+01
-3.695858229712049858e-02,3.963717883549927734e+01,2.758503108017753647e+01
-3.697930342151269784e-02,3.963718366436845741e+01,2.793217734728842316e+01
-3.700005641537984502e-02,3.963718837814511886e+01,2.827421093769878624e+01
-3.702087351489592032e-02,3.963719290297516551e+01,2.861131730980926235e+01
-3.704177355843969038e-02,3.963719715883460282e+01,2.894367069603674381e+01
-3.706275145329038234e-02,3.963720112342540602e+01,2.925471542166512151e+01
-3.708381171670963733e-02,3.963720477786073815e+01,2.951479088221087110e+01
-3.710493891330995941e-02,3.963720815322416513e+01,2.981757690965095620e+01
-3.712611336494756054e-02,3.963721130920257707e+01,3.013371062154210733e+01
-3.714733311979296487e-02,3.963721423318702364e+01,3.044578491167550638e+01
-3.716859784878767670e-02,3.963721694996743850e+01,3.075392527962460676e+01
-3.718989071955162290e-02,3.963721947687525216e+01,3.105825071256129277e+01
-3.721123597964525603e-02,3.963722168033073956e+01,3.120376034924212760e+01
-3.723262637147226745e-02,3.963722359687389485e+01,3.142182509828601411e+01
-3.725402745821494721e-02,3.963722537442709637e+01,3.171810881321018627e+01
-3.727544563326110061e-02,3.963722701742038623e+01,3.201092084424821849e+01
-3.729688358470460707e-02,3.963722851576724082e+01,3.230035741218249257e+01
-3.731832876405700994e-02,3.963722987610150739e+01,3.258651024560170129e+01
-3.733978558779003226e-02,3.963723112629110545e+01,3.286946687167660031e+01
-3.736125339309686461e-02,3.963723229048968477e+01,3.314931088311257668e+01
-3.738272282621941250e-02,3.963723338342386882e+01,3.342612218362474152e+01
-3.740419842581260007e-02,3.963723440949399190e+01,3.369997721401266944e+01
-3.742567625365442185e-02,3.963723537146634612e+01,3.397094916067878501e+01
-3.744715893695426540e-02,3.963723626710650905e+01,3.423910814823040027e+01
-3.746864581657549653e-02,3.963723708298018522e+01,3.450452141762732339e+01
-3.749013498413659995e-02,3.963723785505663955e+01,3.476725349118080999e+01
-3.751162394375977954e-02,3.963723863283695437e+01,3.502736632557238750e+01
-3.753311245076397518e-02,3.963723941181741850e+01,3.528491945394010543e+01
-3.755460184054736084e-02,3.963724018895439372e+01,3.553997011797332561e+01
-3.757609049666705420e-02,3.963724096658025786e+01,3.579257339086263556e+01
-3.759757819887137725e-02,3.963724174417500734e+01,3.604278229186806470e+01
-3.761906827466850178e-02,3.963724252157132355e+01,3.629053015825018491e+01
-3.764055640326256780e-02,3.963724329869148733e+01,3.653530860622097975e+01
-3.766204449891621953e-02,3.963724407549917572e+01,3.677718818873857742e+01
-3.768353576212329914e-02,3.963724485206409298e+01,3.701623670413702882e+01
-3.770502411720503405e-02,3.963724562816841512e+01,3.725251934564766998e+01
-3.772651258388498574e-02,3.963724640390420006e+01,3.748609884061345099e+01
-3.774800363712317586e-02,3.963724717935885877e+01,3.771703558025255631e+01
-3.776949224051731613e-02,3.963724795436304760e+01,3.794538774074490561e+01
-3.779098114412364484e-02,3.963724872903615193e+01,3.817121139634120652e+01
-3.781247182500435677e-02,3.963724950346195897e+01,3.839456062512859802e+01
-3.783396072761291418e-02,3.963725027755224772e+01,3.861548760802808289e+01
-3.785545009024451901e-02,3.963725105143635119e+01,3.883404272154645298e+01
-3.787694020591787086e-02,3.963725182518113854e+01,3.905027462475826638e+01
-3.789842947776662918e-02,3.963725259879186069e+01,3.889013812161140748e+01
-3.791991927048829480e-02,3.963725337238615509e+01,3.822125264731643313e+01
-3.794140864365407734e-02,3.963725414600290264e+01,3.754231593506558085e+01
-3.796289835512148964e-02,3.963725491974493309e+01,3.685275973993758925e+01
-3.798438850538392308e-02,3.963725569369283619e+01,3.615196083294338081e+01
-3.800587700068028263e-02,3.963725646784894252e+01,3.543923314939519287e+01
-3.802736718198286570e-02,3.963725724240947557e+01,3.471380902209836705e+01
-3.804885766188784851e-02,3.963725801739511212e+01,3.397488321481154117e+01
-3.807034507468964185e-02,3.963725879276521624e+01,3.322150520199596713e+01
-3.809183540216234953e-02,3.963725956878238321e+01,3.245238779432237664e+01
-3.811332382242973993e-02,3.963726034519915942e+01,3.166615406622039330e+01
-3.813481130482090226e-02,3.963726112183944394e+01,3.086149835016364662e+01
-3.815629988345867890e-02,3.963726189850476089e+01,3.003771995190221844e+01
-3.817778697771143093e-02,3.963726267488604549e+01,2.919316908482208817e+01
-3.819927737287026615e-02,3.963726345094219283e+01,2.832594882159212801e+01
-3.822076423627305403e-02,3.963726422620516132e+01,2.743387123209890177e+01
-3.824225081505191332e-02,3.963726500056831981e+01,2.651429821811219867e+01
-3.826374366830737062e-02,3.963726577408750273e+01,2.556423195060980902e+01
-3.828522762416471797e-02,3.963726654599890509e+01,2.458042176512007515e+01
-3.830671917888030242e-02,3.963726731653254376e+01,2.355779637363815837e+01
-3.832822041417268538e-02,3.963726808586582706e+01,2.248944894564151653e+01
-3.834972613157663912e-02,3.963726885624893015e+01,2.138119474266570563e+01
-3.837124487832373199e-02,3.963726963512957013e+01,2.021225491336838331e+01
-3.839269995308201150e-02,3.963727041268892748e+01,1.897493509416558055e+01
-3.841421578916520002e-02,3.963727119361757900e+01,1.770079697690721332e+01
-3.843572185871502178e-02,3.963727206477634013e+01,1.685130143363372568e+01
-3.845711668395606492e-02,3.963727354962843918e+01,1.656831400171731516e+01
-3.847838821656208302e-02,3.963727622047181853e+01,1.630743286958633576e+01
-3.849942558983405344e-02,3.963728004661610527e+01,1.595685305583219993e+01
-3.852001343927484445e-02,3.963728513088254601e+01,1.569106153391986069e+01
-3.854005943416964619e-02,3.963729158461165980e+01,1.544431914007816964e+01
-3.855948193482022779e-02,3.963729929311625000e+01,1.507459491117257144e+01
-3.857824228398530619e-02,3.963730811417242705e+01,1.455826385568429515e+01
-3.859609890955530143e-02,3.963731813383634517e+01,1.425105451014038316e+01
-3.861271908784497803e-02,3.963732952419449873e+01,1.394627038820110698e+01
-3.862795645531088423e-02,3.963734224953204688e+01,1.361877660482855923e+01
-3.864165838973884076e-02,3.963735608187737114e+01,1.311822443800514648e+01
-3.865366198178640106e-02,3.963737096178792285e+01,1.267341643334235357e+01
-3.866352173343680365e-02,3.963738688729423387e+01,1.253363222512492570e+01
-3.867070297484261759e-02,3.963740389806043396e+01,1.240256583600284657e+01
-3.867483496037378565e-02,3.963742150279415455e+01,1.238711170488097757e+01
-3.867568632484585933e-02,3.963743928281142104e+01,1.237163826912238918e+01
-3.867346986605048331e-02,3.963745706414945147e+01,1.247841500096003564e+01
-3.866873992997919146e-02,3.963747463643714042e+01,1.292275423882905727e+01
-3.866180429232782267e-02,3.963749167384447247e+01,1.278934806554017101e+01
-3.865254294711036737e-02,3.963750782597981726e+01,1.277341198710434078e+01
-3.864059579963102092e-02,3.963752273456452002e+01,1.275745600200391117e+01
-3.862650281391567797e-02,3.963753636368471689e+01,1.305592366125924642e+01
-3.861108560420677127e-02,3.963754890129408892e+01,1.377606028187324583e+01
-3.859448253942162482e-02,3.963756034353433932e+01,1.432637813491458623e+01
-3.857695953467526334e-02,3.963757075105434069e+01,1.495038208853047657e+01
-3.855866689856545654e-02,3.963758013476663677e+01,1.551785180382969109e+01
-3.853960765651630316e-02,3.963758844012647842e+01,1.595051021266943181e+01
-3.851990706362502792e-02,3.963759555196637052e+01,1.628779758979957037e+01
-3.849951651786771151e-02,3.963760125518506783e+01,1.634857582852938762e+01
-3.847855791450130458e-02,3.963760546973963983e+01,1.636196398279145470e+01
-3.845741083204014255e-02,3.963760848108607604e+01,1.662592036514601190e+01
-3.843610898670780235e-02,3.963761096147663210e+01,1.723088876446174211e+01
-3.841470557316831180e-02,3.963761306584665789e+01,1.781389031124234634e+01
