# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.7525798529,2626.0040716884,3.3018099427,3.3018099427
-3.6019138201,2625.9728664874,3.0065753292,3.0065753292
-3.5788692986,2625.9694526605,2.7197259774,2.7197259774
-3.5579159113,2625.9695117562,2.8117805928,2.8117805928
-3.54214655,2625.9734808147,3.5436939974,3.5436939974
-3.5150528148,2625.9894817721,4.9062579454,4.9062579454
-3.5066342151,2625.9987299886,7.4818569433,7.4818569433
-3.5087686114,2626.0049807304,7.1013600991,7.1013600991
-3.5189170265,2626.0112625054,5.0350786472,5.0350786472
-3.543340311,2626.0156151482,2.95381429,2.95381429
-3.687861403,2626.0293294437,2.9006987087,2.9006987087
-3.7696226754,2626.0430735428,2.9225960271,2.9225960271
-3.8364475347,2626.0543979146,2.9253979132,2.9253979132
-3.8654629108,2626.0624610355,3.7493272799,3.7493272799
-3.8803344108,2626.0727857604,5.5771644248,5.5771644248
-3.8843368645,2626.0845730507,5.9609815363,5.9609815363
-3.8757135697,2626.0968625812,5.009787345,5.009787345
-3.8616977413,2626.1076477235,4.7875123346,4.7875123346
-3.8297335593,2626.1310271916,3.9289304641,3.9289304641
-3.8026855076,2626.1348403159,2.932138677,2.932138677
-3.7798852759,2626.1297329331,4.125161749,4.125161749
-3.7451036935,2626.0929354418,5.6948289908,5.6948289908
-3.7276203405,2626.073100291,5.5386487416,5.5386487416
-3.7162649573,2626.0657230353,4.7509659164,4.7509659164
-3.701825539,2626.0598932515,3.3855457825,3.3855457825
-3.6889778695,2626.057084067,2.8938992087,2.8938992087
-3.627880424,2626.0508598657,3.0340177648,3.0340177648
-3.6012683908,2626.049215885,3.4542924384,3.4542924384
-3.5824189989,2626.0526108621,5.4322080116,5.4322080116
-3.5748086875,2626.057416079,7.2968151038,7.2968151038
-3.5720813198,2626.0643822166,8.288172265,8.288172265
-3.5760517497,2626.0695727109,6.8232095766,6.8232095766
